boletin,fecha_publicacion,fecha_firma,tipo,numero,objeto,tags,pdf
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-438-SI-INTEN,"Expediente Nº 8980-2020 (Alcance 53 y sus agregados Nros. 66 y 67) - Rechazar lo solicitado por la firma SP2 GROUP S.A., CUIT N° 30-71050978-2, adjudicataria de los renglones Nros. 13, 14 y 15 del Rubro A de la Licitación Pública N° 14/2020.",Rechazo Mayores Costos,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-439-SI-INTEN,"Expediente Nº 9015/2021 (Alcances 12 y 18) - Otorgar un reconocimiento de mayores costos a la firma FORESTACIÓN URBANA S.R.L., CUIT N° 30-70912509-1, adjudicataria de los renglones Nros. 5, 6 y 7 de la Licitación Pública N° 37/2021.",Mayores Costos,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-440-SI-INTEN,"Expediente Nº 9015-2021 (Alcance 17) - Otorgar un reconocimiento de mayores costos a la firma COOPERATIVA DE TRABAJO ROCÍO LIMITADA, CUIT N° 30-70876325-6, adjudicataria de los renglones Nros. 1, 4 y 9 de la Licitación Pública N° 37/2021.",Mayores Costos,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-441-SI-INTEN,"Expediente Nº 9015-2021 (Alcance 16) - Otorgar un reconocimiento de mayores costos a la firma CONTENEDORES VOLMAT S.R.L., CUIT N° 30-71456998-4, adjudicataria de los renglones Nros. 2 (parcial) y 3 de la Licitación Pública N° 37/2021.",Mayores Costos,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-442-SI-INTEN,"Expediente 10069-2022 (Alcances 2 y 3) - Otorgar un reconocimiento de mayores costos por variación de los insumos principales a la firma SOCORRO MÉDICO PRIVADO S.A., CUIT N° 30-61221341-7, adjudicataria de la Licitación Pública N° 37/2022.",Mayores Costos,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-474-SI-INTEN,"Expediente Nº 2487-2024 - Adjudicar parcialmente a RICCI ENRIQUE ESTEBAN (C.U.I.T. Nº 20-13515068-2) el Concurso de Precios N° 48/2024, para la provisión de “HERRAMIENTAS E INSUMOS PARA EL PAÑOL DE LA SUBSECRETARÍA DE OBRAS PÚBLICAS”.",Adjudicación,
#1145,03/05/2024,26/04/2024,Decreto,DECRE-2024-485-SI-INTEN,"Expediente Nº 1233-2024 - Adjudicar a AGÜERO MARÍA ALICIA (C.U.I.T. Nº 27-18058362-4) el Concurso de Precios N° 15/2024, para la adquisición de “ARTÍCULOS DE LIBRERÍA”.",Adjudicación,
#1145,03/05/2024,26/04/2024,Decreto,DECRE-2024-486-SI-INTEN,"Expediente N° 9835-2023 (Alcances 2, 3 y 4) - Otorgar un reconocimiento de mayores costos a BENITO ROGGIO E HIJOS S.A. – CLIBA INGENIERÍA AMBIENTAL S.A. – U.T.E., CUIT N° 30-69724712-9, adjudicatarias de las Licitaciones Públicas Nros. 17/08 y 17/14.",Mayores Costos,
#1145,03/05/2024,26/04/2024,Decreto,DECRE-2024-487-SI-INTEN,"Expediente Nº 3176-2024 - Adjudicar a VIA URBANA S.R.L. (C.U.I.T. Nº 30-71024301-4)), el Concurso de Precios N° 61/2024, para la contratación del “SERVICIO DE TRASLADO DE ALUMNOS DE EDUCACIÓN ESPECIAL”.",Adjudicación,
#1145,03/05/2024,26/04/2024,Decreto,DECRE-2024-499-SI-INTEN,"Expediente Nº 3151-2024 - Adjudicar a XS INTERNACIONAL S.A. (C.U.I.T. Nº 30-71436109-7), el Concurso de Precios N° 60/2024, para la provisión de “RACIONES DE ALIMENTOS”.",Adjudicación,
#1145,03/05/2024,26/04/2024,Decreto,DECRE-2024-500-SI-INTEN,"Expediente Nº 8980-2020 (Alcance 71) - Otorgar un reconocimiento de mayores costos a COOPERATIVA DE TRABAJO ROCÍO LIMITADA, CUIT N° 30-70876325-6, adjudicataria de los renglones Nros. 4, 8, 9, 10, 11, 17 y 18 (Rubro A) de la Licitación Pública 14/20.",Mayores Costos,
#1146,17/05/2024,03/05/2024,Decreto,DECRE-2024-522-SI-INTEN,"Expediente Nº 3748-2021 (Alcance 8) - Otorgar un reconocimiento de mayores costos a la empresa COOPERATIVA DE TRABAJO DE SERVICIOS MÉDICOS SERMED LIMITADA, CUIT N° 30-71048651-0, adjudicataria de la Licitación Pública N° 22/2021.",Mayores Costos,
#1146,17/05/2024,03/05/2024,Decreto,DECRE-2024-530-SI-INTEN,"Expediente 1390-2021 (Alcance 22) - Otorgar un reconocimiento de mayores costos a la empresa COOPERATIVA DE TRABAJO ROCÍO LIMITADA, CUIT N° 30-70876325-6, adjudicataria de la Licitación Pública N° 4/2021.",Mayores Costos,
#1146,17/05/2024,03/05/2024,Decreto,DECRE-2024-531-SI-INTEN,"Expediente 16681-2017 (Alcance 6) - Otorgar un reconocimiento de mayores costos a la empresa VÍA URBANA S.R.L., CUIT N° 30-71024301-4, adjudicataria de la Licitación Pública N° 57/2017.",Mayores Costos,
#1146,17/05/2024,07/05/2024,Decreto,DECRE-2024-543-SI-INTEN,"Expediente Nº 3155-2024 - Adjudicar a NECOD ARGENTINA S.R.L. (C.U.I.T. Nº 30-68629797-3), el Concurso de Precios N° 59/2024, para la adquisición de “TUBOS ENDOTRAQUEALES DOBLE LUMEN PARA INTUBACIÓN PULMONAR SELECTIVA”.",Adjudicación,
#1146,17/05/2024,09/05/2024,Decreto,DECRE-2024-544-SI-INTEN,"Expediente Nº 3072-2024 - Adjudicar la Licitación Pública Nº 10/2024, para la adquisición de “EQUIPAMIENTO INFORMÁTICO”.",Adjudicación,
#1146,17/05/2024,09/05/2024,Decreto,DECRE-2024-552-SI-INTEN,"Expediente 11911-2021 (Alcance 5) - Otorgar un reconocimiento de mayores costos por variación de los insumos principales a la empresa VÍA URBANA S.R.L., CUIT N° 30-71024301-4, adjudicataria de la Licitación Pública N° 42/2021.",Mayores Costos,
#1146,17/05/2024,09/05/2024,Decreto,DECRE-2024-553-SI-INTEN,"Expediente Nº 8320-2023 (Alcances 2, 3 y 4) - Otorgar un reconocimiento de mayores costos a la firma MANTELECTRIC I.C.I.S.A., CUIT N° 30-52029200-0, adjudicataria de la Zona 3 de la Licitación Pública N° 40/2023.",Mayores Costos,
#1146,17/05/2024,10/05/2024,Decreto,DECRE-2024-556-SI-INTEN,"Expediente Nº 4663-2015 (Alcances 32, 33 y 35) - Otorgar un reconocimiento de mayores costos a las empresas MANTELECTRIC I.C.I.S.A. – SETI S.A. – UTE, CUIT N° 30-71062494-8, adjudicatarias de la Licitación Pública N° 20/2015.",Mayores Costos,
#1146,17/05/2024,10/05/2024,Decreto,DECRE-2024-557-SI-INTEN,"Expediente Nº 3253-2024 - Adjudicar a RECIDUMBRE S.A. (C.U.I.T. Nº 33-70865399-9), el Concurso de Precios N° 62/2024, para la contratación del “SERVICIO DE TRASLADO DE FALLECIDOS”.",Adjudicación,
#1146,17/05/2024,10/05/2024,Decreto,DECRE-2024-558-SI-INTEN,"Expediente Nº 3065-2024 - Adjudicar a FIBROTÉCNOLOGÍA S.R.L. (CUIT Nº 30-71563154-3), el Concurso de Precios N° 55/2024, para la provisión de un “TENDIDO DE FIBRA ÓPTICA”.",Adjudicación,
#1146,17/05/2024,13/05/2024,Decreto,DECRE-2024-561-SI-INTEN,"Expediente Nº 1390-2021 (Alcance 23) - Otorgar un reconocimiento de mayores costos a MANILA S.A., CUIT N° 30-58380778-7, adjudicataria del renglón 4 (Servicio IV) de la Licitación Pública N° 4/2021.",Mayores Costos,
#1146,17/05/2024,13/05/2024,Decreto,DECRE-2024-562-SI-INTEN,"Expte. Nº 15235-2022 (Alcances 4, 5 y 6) - Otorgar un reconocimiento de mayores costos a TOTAL SEÑALAMIENTO, CUIT N° 30-71215788-3, adjudicataria de los renglones Nros. 1, 2, 3, 4 (parcial), 5, 8, 10 y 11 de la Licitación Pública N° 53/2022.",Mayores Costos,
#1146,17/05/2024,15/05/2024,Decreto,DECRE-2024-566-SI-INTEN,"Expediente Nº 2289-2024 - Adjudicar a VÍCTOR ANTONIO SALTO (C.U.I.T. Nº 20-17987580-3), el Concurso de Precios N° 42/2024, para la “PROVISIÓN DE MATERIALES Y MANO DE OBRA PARA LA RECONSTRUCCIÓN DE CORDÓN DE HORMIGÓN”.",Adjudicación,
#1147,03/06/2024,16/05/2024,Decreto,DECRE-2024-568-SI-INTEN,"Expediente Nº 3916-2024 - Adjudicar a FEDERICO GUILLERMO POLLAROLO (C.U.I.T. Nº 20-29633885-1), el Concurso de Precios N° 72/2024, para la “PROVISIÓN DE VIANDAS”.",Adjudicación,
#1147,03/06/2024,20/05/2024,Decreto,DECRE-2024-576-SI-INTEN,"Expediente Nº 3368-2024 - Adjudicar a CLEANUP SYF S.R.L. (C.U.I.T. Nº 30-71673880-5), el Concurso de Precios N° 65/2024, para la “PROVISIÓN DE ARTÍCULOS DE LIMPIEZA”.",Adjudicación,
#1147,03/06/2024,21/05/2024,Decreto,DECRE-2024-580-SI-INTEN,"Expte. Nº 3064-2024.- Adjudicar el Concurso de Precios N° 54/2024, para la adquisición de “MONITORES”.-",Adjudicación,
#1147,03/06/2024,22/05/2024,Decreto,DECRE-2024-582-SI-INTEN,"Expte. Nº 3756-2024.- Adjudicar el Concurso de Precios N° 75/2024, para la “PROVISIÓN DE PACKS DE CIRUGÍA MAYOR ESTÉRIL DESCARTABLE”.-",Adjudicación,
#1147,03/06/2024,22/05/2024,Decreto,DECRE-2024-584-SI-INTEN,"Expediente 44-2023 (Alcance 1) - Otorgar un reconocimiento de mayores costos a PRAXAIR ARGENTINA S.R.L., CUIT N° 30-57878067-6, adjudicataria de la Licitación Pública N° 6/2023.",Mayores Costos,
#1147,03/06/2024,22/05/2024,Decreto,DECRE-2024-589-SI-INTEN,"Expte. Nº 3912-2024.- Adjudicar el Concurso de Precios N° 70/2024, para la adquisición de “SILLAS ANTIGOLPES”.-",Adjudicación,
#1147,03/06/2024,23/05/2024,Decreto,DECRE-2024-593-SI-INTEN,"Expediente Nº 2237-2024 - Adjudicar a LABORATORIO HIDALGO S.A. (C.U.I.T. Nº 33-67731525-9), el Concurso de Precios N° 37/2024, para la contratación del “SERVICIO DE LABORATORIO EN SITUACIONES EXTREMAS”.",Adjudicación,
#1147,03/06/2024,23/05/2024,Decreto,DECRE-2024-595-SI-INTEN,"Expediente Nº 10237-2022 (Alcances 11, 13, 15 y 20) - Otorgar un reconocimiento de mayores costos por variación de los insumos principales a la firma LEPAK S.R.L., CUIT N° 30-70829137-0, adjudicataria de la Licitación Pública N° 38/2022.",Mayores Costos,
#1147,03/06/2024,24/05/2024,Decreto,DECRE-2024-600-SI-INTEN,"Expediente Nº 2826-2024 - Adjudicación del Concurso de Precios N° 52/2024, para la provisión de “INSUMOS PARA SUTURAS”.",Adjudicación,
#1147,03/06/2024,27/05/2024,Decreto,DECRE-2024-602-SI-INTEN,"Expediente Nº 3757-2024 - Adjudicar a PROVEER P.M.C. S.R.L. (C.U.I.T. Nº 30-69934793-7), el Concurso de Precios N° 71/2024, para la “PROVISIÓN DE ROPA DE TRABAJO”.",Adjudicación,
#1147,03/06/2024,30/05/2024,Decreto,DECRE-2024-622-SI-INTEN,"Expediente Nº 4107-2024 - Adjudicar la Licitación Privada N° 18/2024, para la adquisición de “ALIMENTOS”.",Adjudicación,
