accion,boletin,fecha_publicacion,fecha_firma,tipo,numero,objeto,tags,pdf
promulga,#1227,01/06/2026,26/05/2026,Decreto,DECRE-2026-581-SI-INTEN,Expediente Nº EX-2026-00124638-SI-SSPLAUR - Promulgar y hacer cumplir la Ordenanza Municipal N° 9432.-,Promulgación | Ordenanza Municipal,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IkQzWmFTcGJBSDVLdnJWQXM4aDdKTkE9PSIsInZhbHVlIjoibEYxeFg1RHFYeU9tbkFvNm9RZ05CQ2V0ajJ0M3NCME9uaW94N1NXUnRpbVoxV01OUnFUVjBoRXhYTll4Sk9HbiIsIm1hYyI6IjJjMjY2YmY2YWU0ZjMxMTRmNjA5MjlmYmIzNjExYTgxMjBjZWY4N2FiZjZkNjNlN2IxYTI1Yjk3ZjU1YTUwZmQiLCJ0YWciOiIifQ==
promulga,#1231,17/07/2026,26/05/2026,Decreto,DECRE-2026-586-SI-INTEN,Expediente N° EX-2026-00128077-SI-CONT - Promulgar y hacer cumplir la Ordenanza Municipal N° 9431.-,Promulgación | Ordenanza,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IjhLU3hFYkdVV1ltRkwwTzBXL0dJaHc9PSIsInZhbHVlIjoiakFaMnRCL0Q2TktNbEtIamJOenRWaVE3djB1WVJMYzBVZ2U1VkNjQldwTU5XMFEvSDdWbmw5SHFXbDlxazhobiIsIm1hYyI6ImVjOWUyYzA0M2VkZmUwODM5YjgxOGQyMjM2MDMwMmIxYTc2ZjJiZWQzYWMyNTY4ZTliM2I5MzE3ZWY0YjkzODEiLCJ0YWciOiIifQ==
promulga,#1232,23/07/2026,04/06/2026,Decreto,DECRE-2026-608-SI-INTEN,Expediente N° 10848/2019 - Promulgación Ordenanza Municipal N° 9434.-,Promulgación | Ordenanza,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6ImtUYW54WW9NMUtpNitva3dEYmJKOXc9PSIsInZhbHVlIjoicVEwS0RFQ0haRGRXL290dWxyTUVYYWp2bVBnNll3VmhyWlZWMnJKeXVtTEZRcU1oVDNYU1YzNVZuLzZ2c1k2aCIsIm1hYyI6IjBkYjM0NWQyMzE1NzA3ZTczZjhmYTQ0YmJjMDlhYjZiMzgzZjdhYTA1ZTE0NWEyOGQzZjNlMzNiMzI1MzM2MzkiLCJ0YWciOiIifQ==
promulga,#1233,03/08/2026,16/06/2026,Decreto,DECRE-2026-648-SI-INTEN,Expediente Nº EX-2025-00357593-SI-DDS - Trasladar en comisión a la Sra. María Fernanda Randolino (Legajo N° 58.545) del Centro de Atención Primaria San Isidro Labrador al Honorable Concejo Deliberante.-,Traslado | Personal,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IjVQWS9DcnpFVCtXRWdJcy9RQmZIekE9PSIsInZhbHVlIjoibWw5RGxERHh6V05JYytpSzFLcGM2RkxGZGRZS2hHcTNCdjA2czZHK0p1eGdGbFYyaWF0VGYweUNvNDlJS251WCIsIm1hYyI6ImIwMDZkOWIzOTU5MmI1NDg3MjIxNWYyZjA2NDgzZjMzYWYxMjYxMGM3ODZmOTM5YWIxOTY4OTkxNTUyNzVhMTAiLCJ0YWciOiIifQ==
promulga,#1233,03/08/2026,17/06/2026,Decreto,DECRE-2026-655-SI-INTEN,Expediente Nº EX-2025-00273252-SI-SDMEYA - Promulgación Ordenanza Municipal N° 9437.-,Promulgación | Ordenanza,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6InBLMGREbmdTWktaWDZMZEVUSjhsYUE9PSIsInZhbHVlIjoiWGxQNVhPTENES2ptUTlKWGJCWldrOXh3Z3ovTHF1ZWhrUlFHRWJ1c3BQcXlhNmgzcUl0bkx0VDNiUWZ2aytILyIsIm1hYyI6IjY2NWJmMjM5NjA5MzA3MTg5YmM0ODEzNTQyNDUzOGRlNTBlMzE4MjM3NjFlNjEzMWEwNjQ1ZmIzOWU0YTlmMjUiLCJ0YWciOiIifQ==
promulga,#1233,03/08/2026,17/06/2026,Decreto,DECRE-2026-656-SI-INTEN,Expediente N° EX-2025-00134822-SI-SSMOV - Promulgación Ordenanza Municipal N° 9438.-,Promulgación | Ordenanza,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6InE4V2g4dHZxTEcrcjhhUjFDdUNua1E9PSIsInZhbHVlIjoiRno4cFdkaStCMFJJMk1kdWNDOTFSUTVJSWl6aGhvV0pVTEhzcG53L2IxaExoWlRwQTNIRlo3bUF1cjZ5WGlCRSIsIm1hYyI6ImVlN2I3MjAzNmMyZTUwNzJjMzRhZjY5YjIzZWY0ZWIzNDgzMzk3NGMzN2ZmMTBhN2MxOTkwNDQ4ODM5Yzc3ZGUiLCJ0YWciOiIifQ==
promulga,#1233,03/08/2026,24/06/2026,Decreto,DECRE-2026-686-SI-INTEN,Expediente Nº EX-2025-00199536-SI-SSNAC - Promulgación Ordenanza Municipal N° 9436 - Adjudicación Licitación Pública Nº 58/2025 “SERVICIO DE ACOMPAÑANTES TERAPÉUTICOS”.-,Promulgación | Ordenanza,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6Ik45cytyeGdQZGVkeEtNZTZBRWlFVFE9PSIsInZhbHVlIjoiRmtYVDR2dGRlUU95d2JITWoyaWpwWFU5OUhhUDlyQnJwZFQvWmQreEl5VU04T2RyWnNmT1o0WGFtYkRPWXVjdSIsIm1hYyI6IjY5MzZjYWQxZWM3ZTBmZmZjYjRmOTEzNWQwM2U0NGE5ZDliZGJhZTQzYTNjYzg3MGUyNjhlMzY1MmQ2NWNmZGIiLCJ0YWciOiIifQ==
promulga,#1234,24/08/2026,14/07/2026,Decreto,DECRE-2026-761-SI-INTEN,Expediente N° EX-2026-00097341-SI-SECHYF - Promulgar y hacer cumplir la Ordenanza Municipal N° 9439.-,Promulgación | Ordenanza,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6ImRqemtNRHE0MmRFU1dJQk1ZYmdTcGc9PSIsInZhbHVlIjoiR215VjBHc2lBZnpkRnU5NEhSTno0Tnl0V3ltTGJSR3NiRFBRREtQYXVtMGtNTCtmcVRleXFwOWgxb2VkVGxqRiIsIm1hYyI6ImFjNmUxOTIyZGI3MTBhYWJlNzEyODM0NzQwNmQ2NzFmNWI4MTUxNjkxMzY3MjJmMzdjY2M4ZmFhOWRhZmQ0MWMiLCJ0YWciOiIifQ==
promulga,#1235,28/08/2026,22/07/2026,Decreto,DECRE-2026-782-SI-INTEN,Expediente Nº 8192/2022 (Cuerpos 0 y 2) - Aprobación Acta Nº 116 de la Comisión Negociadora Municipal. Modificación Ordenanza Nº 9422.-,Aprobación | Acta | Comisión Negociadora Municipal,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6InlvQTZZc3p4SjBTYS8vd1JPVlBXZkE9PSIsInZhbHVlIjoiTi9mYWczSVZxYmo1dDhNSHhCUXRhNytZVjR5WWZSbVlYd1VYcU9IRmdDbHFzdWxCK25XeSt1WWdIREZ2K1grLyIsIm1hYyI6IjU0YWFjNGEyYzIyOTc4YTg0Mzk0YjJiMDM3MjhmMWY5YmM2YTUyZGFlYjBhODBjYjM3NDRhNDkxNTFjZmFiYjciLCJ0YWciOiIifQ==
promulga,#1237,01/09/2026,01/09/2026,Decreto,DECRE-2026-900-SI-INTEN,Expediente Nº EX-2026-00275249-SI-SDMEYA - Promulgar y hacer cumplir la Ordenanza Municipal Nº 9445.-,Promulgación | Ordenanza,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IkcvUytnRFZnUEl0WGRFNkNROUkxOHc9PSIsInZhbHVlIjoiYVJlTUpRUWNRS2xKbk5TWFhXY2VUL3dFTDJjeWpQQ3krRDJiWU00ZUlUUElPamZpMEkzR2FRaFVsZUVZQ1NiayIsIm1hYyI6ImQxYjIwMjBiYmY3NzI1MGQ2OGY2YTNhMTk0ZTkzMWEwZDM3MWY1MDgxMjEwYWUyYWQ3YmZjMzA0YzEyM2UyNGEiLCJ0YWciOiIifQ==
