expediente,anio,bloque,tipo_proyecto,tema
75-HCD-2019,2019,unidad ciudadana,ordenanza,"estableciendo como requisito para la habilitacion y funcionamiento de locales y/o espacios y/o eventos con concurrencia masiva de publico, contar con un plan de respuesta a emergencia que incluya capacitacion para el personal en r"
76-HCD-2019,2019,"unidad ciudadana,",comunicacion,"s/ la adhesion a la ley nacional n° 27.159,-"
77-HCD-2019,2019,unidad cludadana,comunicacion,"s/ la implementacion del servicio alimentario escolar en las escuelas de educacion tecnica del municipio de san isidro,-"
78-HCD-2019,2019,unidad ciudadana,comunicacion,s/ arbitrar las medidas necesarias para interponer una accion de amparo para retrotraer las tarifas de diversos servicios.-
79-HCD-2019,2019,unidad cludadana,comunicacion,s/ informe relacionado al ex club de municipales.-
80-HCD-2019,2019,unidad ciudadana,ordenanza,creando el ente municipal de lucha contra la corrupcion y la violencia institucional.-
81-HCD-2019,2019,unidad ciudadana,comunicacion,s/ informes referentes al sae para la escuela secundaria especializada en arte n° 1 de san isidro.-
82-HCD-2019,2019,unidad ciudadana,comunicacion,s/ un informe referente a los tres hospitales municipales del distrito.-
83-HCD-2019,2019,unidad ciudadana,decreto,disponiendo de las medidas necesarias para cumplir e implementar la ley n° 27.159 en el h.c.d.-
84-HCD-2019,2019,unidad ciudadana,resolucion,el h.c.d. expresa su preocupacion por la situacion de desfinanciamiento que esta sufriendo la educacion publica.-
85-HCD-2019,2019,unidad ciudadana,comunicacion,s/ declarar la emergencia municipal por la situacion que estan viviendo los adultos mayores.-
86-HCD-2019,2019,unidad ciudadana,comunicacion,s/ a la gobernadora de la pcia. de bs. as. que convoque a paritarias docentes.-
87-HCD-2019,2019,unidad ciudadana,ordenanza,"modificando el nombre de la calle ""teniente gral. lonardi"" por el de ""teniente de corbeta alejandro damian tagliapietra ara san juan"".-"
88-HCD-2019,2019,convocacion por san isidro,ordenanza,reemplazando el contenido del articulo nº 71 de la ordenanza fiscal anual para el ejercicio 2019.-
89-HCD-2019,2019,convocacion por san isidro,ordenanza,"eximiendo del pago total de la tasa por alumbrado, limpieza y servicios generales, tasa por inspeccion de comercios e industrias y derechos de publicidad a los vecinos afectados por las obras de mejoramiento en la estacion de tren"
93-HCD-2019,2019,pro san isidro - cambiemos,comunicacion,"si arbitrar los medios necesarios para llevar a cabo un programa de capacitacion para el personal de comercios gastronomicos, en materia de seguridad alimentaria para persona con alergia celiaca.-"
95-HCD-2019,2019,pro san isidro - cambiemos,comunicacion,si informe relacionado con las plazas deipartido.-
97-HCD-2019,2019,pro san isidro - cambiemos,ordenanza,prohibiendo en los comercios del municipio la utilizacion de bolsas plasticas a los fines de entregar mercaderia.-
98-HCD-2019,2019,pro san isidro - cambiemos,decreto,"el h.c.d. declara de interes el ['rograma ""compra py1nel/ ,-"
99-HCD-2019,2019,frente renovador,comunicacion,si un amplio informe relacionado con camaras y domos de seguridad en el partido.-
104-HCD-2019,2019,unidad ciudadana,comunicacion,s/ un informe relacionado con el centro provincial de atencion a las adicciones.-
108-HCD-2019,2019,unidad ciudadana,resolucion,"el h.c.d. expresa su beneplacito para la proxima beatificacion del monsenor emique angelelli, del sacerdote diocesano gabriel longueville, del sacerdote de la orden de los rrailes menores conventuales carlos murias y del laico wen"
109-HCD-2019,2019,unidad ciudadana,comunicacion,"s/ la colocacion de camaras de seguridad en el perimetro comprendido por las avdas. centenario, andres rolon, marquez y la calle tomkinson, de este partido.-"
