anio,bloque,orden,concepto,medida,monto,fuente
2025,recursos_por_origen,,ORIGEN MUNICIPAL-AFECTADOS,vigente,499109293.09,situacion_economico_financiera_2025_anual.pdf
2025,recursos_por_origen,,ORIGEN MUNICIPAL-AFECTADOS,devengado,403631519.01,situacion_economico_financiera_2025_anual.pdf
2025,recursos_por_origen,,ORIGEN MUNICIPAL-AFECTADOS,percibido,403631519.01,situacion_economico_financiera_2025_anual.pdf
2025,recursos_por_origen,,ORIGEN PROVINCIAL-DE LIBRE DISPONIBILIDAD,vigente,86170765257.00,situacion_economico_financiera_2025_anual.pdf
2025,recursos_por_origen,,ORIGEN PROVINCIAL-DE LIBRE DISPONIBILIDAD,devengado,79683151665.59,situacion_economico_financiera_2025_anual.pdf
2025,recursos_por_origen,,ORIGEN PROVINCIAL-DE LIBRE DISPONIBILIDAD,percibido,79683151665.59,situacion_economico_financiera_2025_anual.pdf
2025,recursos_por_origen,,ORIGEN PROVINCIAL-AFECTADOS,vigente,8762354585.23,situacion_economico_financiera_2025_anual.pdf
2025,recursos_por_origen,,ORIGEN PROVINCIAL-AFECTADOS,devengado,8010779659.00,situacion_economico_financiera_2025_anual.pdf
2025,recursos_por_origen,,ORIGEN PROVINCIAL-AFECTADOS,percibido,8010779659.00,situacion_economico_financiera_2025_anual.pdf
2025,recursos_por_origen,,ORIGEN NACIONAL-AFECTADOS,vigente,280003550.47,situacion_economico_financiera_2025_anual.pdf
2025,recursos_por_origen,,ORIGEN NACIONAL-AFECTADOS,devengado,190050533.83,situacion_economico_financiera_2025_anual.pdf
2025,recursos_por_origen,,ORIGEN NACIONAL-AFECTADOS,percibido,190050533.83,situacion_economico_financiera_2025_anual.pdf
2025,recursos_por_origen,,OTROS ORIGENES-DE LIBRE DISPONIBILIDAD,vigente,6953009557.00,situacion_economico_financiera_2025_anual.pdf
2025,recursos_por_origen,,OTROS ORIGENES-DE LIBRE DISPONIBILIDAD,devengado,7331698373.78,situacion_economico_financiera_2025_anual.pdf
2025,recursos_por_origen,,OTROS ORIGENES-DE LIBRE DISPONIBILIDAD,percibido,7331698373.78,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_objeto,,GASTOS EN PERSONAL,devengado,111589523524.90,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_objeto,,GASTOS EN PERSONAL,pagado,111589098111.35,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_objeto,,BIENES DE CONSUMO,devengado,22096325434.19,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_objeto,,BIENES DE CONSUMO,pagado,21172074679.54,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_objeto,,SERVICIOS NO PERSONALES,devengado,110490801688.94,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_objeto,,SERVICIOS NO PERSONALES,pagado,108490699482.82,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_objeto,,BIENES DE USO,devengado,57815709350.26,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_objeto,,BIENES DE USO,pagado,56982808238.59,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_objeto,,TRANSFERENCIAS,devengado,7243469982.26,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_objeto,,TRANSFERENCIAS,pagado,7024805363.56,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_objeto,,ACTIVOS FINANCIEROS,devengado,170095389.11,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_objeto,,ACTIVOS FINANCIEROS,pagado,170095389.11,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_objeto,,SERVICIO DE LA DEUDA Y DISMINUCIÓN DE OTROS PASIVOS,devengado,14898030035.79,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_objeto,,SERVICIO DE LA DEUDA Y DISMINUCIÓN DE OTROS PASIVOS,pagado,14898030035.79,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.02.000 - 56,INSTALACION DE FIBRA OPTICA,devengado,785907014.14,situacion_economico_financiera_2025_anual.pdf
