anio,trimestre,fecha_corte,codigo,concepto,saldo,amortiz_ej1,intereses_ej1,amortiz_ej2,intereses_ej2,amortiz_ej3,intereses_ej3,amortiz_resto,intereses_resto,deuda_vencida_impaga,fuente,coef_deflactor,base_coef,monto_constante_dic2025,saldo_const_dic2025,amortiz_ej1_const_dic2025,intereses_ej1_const_dic2025,amortiz_ej2_const_dic2025,intereses_ej2_const_dic2025,amortiz_ej3_const_dic2025,intereses_ej3_const_dic2025,amortiz_resto_const_dic2025,intereses_resto_const_dic2025,deuda_vencida_impaga_const_dic2025
2025,II,30/6/2025,1.1.4,I.O.M.A.(**),706482936.00,706482936.00,,,,,,,,,2025_ii_stock_de_deuda.pdf,1.14293870,"stock al 30/6/2025, indice de 2025-06",807466688.44,807466688.44,807466688.44,,,,,,,,
2025,II,30/6/2025,1.2,ORGANISMOS PUBLICOS NACIONALES,0.00,0.00,,,,,,,,,2025_ii_stock_de_deuda.pdf,1.14293870,"stock al 30/6/2025, indice de 2025-06",0.00,0.00,0.00,,,,,,,,
2025,II,30/6/2025,1.3,BANCOS,0.00,0.00,,,,,,,,,2025_ii_stock_de_deuda.pdf,1.14293870,"stock al 30/6/2025, indice de 2025-06",0.00,0.00,0.00,,,,,,,,
2025,II,30/6/2025,1.4,EMPRESAS,375097416.00,375097416.00,,,,,,,,,2025_ii_stock_de_deuda.pdf,1.14293870,"stock al 30/6/2025, indice de 2025-06",428713353.02,428713353.02,428713353.02,,,,,,,,
2025,II,30/6/2025,1.4.2,PROVEEDORES (CEAMSE) (***),375097416.00,375097416.00,,,,,,,,,2025_ii_stock_de_deuda.pdf,1.14293870,"stock al 30/6/2025, indice de 2025-06",428713353.02,428713353.02,428713353.02,,,,,,,,
2025,II,30/6/2025,1.6,OTRAS DEUDAS,948467359.00,0.00,,,,,,,,,2025_ii_stock_de_deuda.pdf,1.14293870,"stock al 30/6/2025, indice de 2025-06",1084040050.29,1084040050.29,0.00,,,,,,,,
2025,II,30/6/2025,2,Saldo de Deuda Flotante,3249741202.00,,,,,,,,,,2025_ii_stock_de_deuda.pdf,1.14293870,"stock al 30/6/2025, indice de 2025-06",3714254984.75,3714254984.75,,,,,,,,,
2025,III,30/9/2025,1,DEUDA CONSOLIDADA,4744312293.00,3275443665.00,,,,,,,,,2025_iii_stock_de_deuda.pdf,1.07856693,"stock al 30/9/2025, indice de 2025-09",5117058344.82,5117058344.82,3532785218.15,,,,,,,,
2025,III,30/9/2025,1.1,ORGANISMOS PUBLICOS PROVINCIALES,2799564127.00,2799564127.00,,,,,,,,,2025_iii_stock_de_deuda.pdf,1.07856693,"stock al 30/9/2025, indice de 2025-09",3019517285.80,3019517285.80,3019517285.80,,,,,,,,
2025,III,30/9/2025,1.1.1,TESORO PROVINCIAL,237157017.00,237157017.00,,,,,,,,,2025_iii_stock_de_deuda.pdf,1.07856693,"stock al 30/9/2025, indice de 2025-09",255789715.75,255789715.75,255789715.75,,,,,,,,
2025,III,30/9/2025,1.1.3,I.P.S. (**),1852481082.00,1852481082.00,,,,,,,,,2025_iii_stock_de_deuda.pdf,1.07856693,"stock al 30/9/2025, indice de 2025-09",1998024833.50,1998024833.50,1998024833.50,,,,,,,,
2025,III,30/9/2025,1.1.4,I.O.M.A.(**),709926028.00,709926028.00,,,,,,,,,2025_iii_stock_de_deuda.pdf,1.07856693,"stock al 30/9/2025, indice de 2025-09",765702736.55,765702736.55,765702736.55,,,,,,,,
2025,III,30/9/2025,1.2,ORGANISMOS PUBLICOS NACIONALES,0.00,0.00,,,,,,,,,2025_iii_stock_de_deuda.pdf,1.07856693,"stock al 30/9/2025, indice de 2025-09",0.00,0.00,0.00,,,,,,,,
2025,III,30/9/2025,1.3,BANCOS,0.00,0.00,,,,,,,,,2025_iii_stock_de_deuda.pdf,1.07856693,"stock al 30/9/2025, indice de 2025-09",0.00,0.00,0.00,,,,,,,,
2025,III,30/9/2025,1.4,EMPRESAS,475879538.00,475879538.00,,,,,,,,,2025_iii_stock_de_deuda.pdf,1.07856693,"stock al 30/9/2025, indice de 2025-09",513267932.35,513267932.35,513267932.35,,,,,,,,
2025,III,30/9/2025,1.4.2,PROVEEDORES (CEAMSE) (***),475879538.00,475879538.00,,,,,,,,,2025_iii_stock_de_deuda.pdf,1.07856693,"stock al 30/9/2025, indice de 2025-09",513267932.35,513267932.35,513267932.35,,,,,,,,
2025,III,30/9/2025,1.6,OTRAS DEUDAS,1468868628.00,0.00,,,,,,,,,2025_iii_stock_de_deuda.pdf,1.07856693,"stock al 30/9/2025, indice de 2025-09",1584273126.68,1584273126.68,0.00,,,,,,,,
2025,III,30/9/2025,2,Saldo de Deuda Flotante,12608723009.00,,,,,,,,,,2025_iii_stock_de_deuda.pdf,1.07856693,"stock al 30/9/2025, indice de 2025-09",13599351667.04,13599351667.04,,,,,,,,,
2025,IV,30/12/2025,1,DEUDA CONSOLIDADA,4983984394.00,3388144415.00,,,,,,,,,2025_iv_stock_de_deuda.pdf,1.00000000,"stock al 30/12/2025, indice de 2025-12",4983984394.00,4983984394.00,3388144415.00,,,,,,,,
