cca,partida,localidad,superficie_m2,iust,vub,tierra_hoy,tierra_B_igual_recaudacion,tierra_B_mas_7225M,tierra_A,lon,lat
097070B000000000000000000000001100C0017000,097077854,San Isidro,251.99,160,90.0,278639,7045,7730,278639,-58.540834,-34.473329
097070B000000000000000000000001100C0018000,097077855,San Isidro,343.84,160,90.0,380203,9613,10547,380203,-58.540922,-34.473203
097070B000000000000000000000001100C0019000,097077856,San Isidro,288.26,160,90.0,318745,8059,8842,318745,-58.540991,-34.473104
097070B000000000000000000000001100C0020000,097077857,San Isidro,296.17,160,90.0,327491,8281,9085,327491,-58.541056,-34.473011
097070B000000000000000000000001100C0021000,097077858,San Isidro,299.47,160,90.0,331140,8373,9186,331140,-58.541122,-34.472916
097070B000000000000000000000001100C0022000,097077859,San Isidro,298.8,160,90.0,330400,8354,9166,330400,-58.541188,-34.472822
097070B000000000000000000000001100C0023000,097077860,San Isidro,294.02,160,90.0,325114,8221,9019,325114,-58.541266,-34.472741
097070B0000000000000000000000012000000100A,097058128,Beccar,195.78,160,3018.0,216485,183555,201389,216485,-58.543938,-34.46925
097070B0000000000000000000000012000000200A,097058129,Beccar,206.01,160,3018.0,227797,193147,211912,227797,-58.543883,-34.469329
097070B0000000000000000000000012000000300A,097058130,Beccar,241.15,160,3018.0,266653,226092,248058,266653,-58.543821,-34.469419
097070B0000000000000000000000012000000400A,097058131,Beccar,303.48,160,3018.0,335575,284530,312174,335575,-58.543799,-34.469526
097070B0000000000000000000000012000000500A,097058132,Beccar,289.73,160,3018.0,320370,271639,298030,320370,-58.543751,-34.46961
097070B0000000000000000000000012000000600A,097058133,Beccar,208.74,160,3018.0,230815,195706,214720,230815,-58.543646,-34.469669
097070B0000000000000000000000012000000600B,097058134,Beccar,234.59,160,3018.0,259399,219942,241310,259399,-58.543584,-34.469775
097070B0000000000000000000000012000000700A,097058135,Beccar,244.65,160,3018.0,270523,229374,251659,270523,-58.543741,-34.469786
097070B0000000000000000000000012000000800A,097058136,Beccar,348.07,160,3018.0,384880,326336,358041,384880,-58.543869,-34.469784
097070B0000000000000000000000012000000900A,097058137,Beccar,242.47,160,3018.0,268112,227330,249416,268112,-58.543932,-34.469871
097070B0000000000000000000000012000001000A,097058138,Beccar,331.4,160,3018.0,366447,310707,340894,366447,-58.544049,-34.469988
097070B0000000000000000000000012000001100A,097058139,Beccar,215.39,160,3018.0,238169,201941,221560,238169,-58.544108,-34.469886
097070B0000000000000000000000012000001200A,097058140,Beccar,317.61,160,3018.0,351199,297778,326709,351199,-58.544124,-34.469791
097070B0000000000000000000000012000001300A,097058141,Beccar,302.1,160,3018.0,334049,283237,310754,334049,-58.544182,-34.469714
097070B0000000000000000000000012000001400A,097058142,Beccar,207.56,160,3018.0,229511,194600,213506,229511,-58.54428,-34.469659
097070B0000000000000000000000012000001500A,097058143,Beccar,202.65,160,3018.0,224081,189996,208455,224081,-58.544335,-34.469581
097070B0000000000000000000000012000001600A,097058144,Beccar,255.46,160,3018.0,282476,239509,262778,282476,-58.544389,-34.469484
097070B0000000000000000000000012000001700A,097058145,Beccar,338.46,160,3018.0,374254,317326,348156,374254,-58.544201,-34.469499
097070B0000000000000000000000012000001800A,097058146,Beccar,422.14,160,3018.0,466783,395781,434233,466783,-58.544086,-34.469485
097070B0000000000000000000000012000001900A,097058147,Beccar,327.21,160,3018.0,361814,306779,336584,361814,-58.544027,-34.469391
097070B0000000000000000000000013000000100A,097044703,Beccar,191.77,160,2844.0,212051,169430,185891,212051,-58.543484,-34.470003
097070B0000000000000000000000013000000100B,097058107,Beccar,194.56,160,2844.0,215136,171895,188595,215136,-58.543401,-34.470055
097070B0000000000000000000000013000000200A,097058108,Beccar,194.82,160,2844.0,215423,172124,188847,215423,-58.543348,-34.470134
097070B0000000000000000000000013000000300A,097058109,Beccar,202.43,160,2844.0,223838,178848,196224,223838,-58.543285,-34.470208
097070B0000000000000000000000013000001400A,097058110,Beccar,212.85,160,2844.0,235360,188054,206324,235360,-58.543758,-34.470441
097070B0000000000000000000000013000001500A,097058111,Beccar,211.12,160,2844.0,233447,186526,204647,233447,-58.543806,-34.47036
097070B0000000000000000000000013000001600A,097058112,Beccar,215.92,160,2844.0,238755,190766,209300,238755,-58.54394,-34.470267
097070B0000000000000000000000013000001700A,097058113,Beccar,212.28,160,2844.0,234730,187550,205772,234730,-58.543845,-34.470215
097070B0000000000000000000000013000001800A,097058114,Beccar,386.06,160,2844.0,426888,341086,374224,426888,-58.54369,-34.47026
097070B0000000000000000000000013000001900A,097058115,Beccar,404.72,160,2844.0,447521,357572,392312,447521,-58.543613,-34.470197
097070B0000000000000000000000013000002000A,097058116,Beccar,409.77,160,2844.0,453105,362034,397207,453105,-58.543503,-34.470174
097070B000000000000000000000001800A0901000, ,San Isidro,3171.75,160,90.0,3507179,88679,97295,3507179,-58.541539,-34.473182
097070B000000000000000000000001800B0000000,097081660,San Isidro,2706.19,160,90.0,2992383,75662,83013,2992383,-58.541083,-34.47382
097070B0000000000000000000000019000000100A,097044698,Beccar,324.72,160,3018.0,359061,304444,334022,359061,-58.544667,-34.469674
097070B0000000000000000000000019000000100B,097058148,Beccar,229.92,160,3018.0,254235,215564,236507,254235,-58.544604,-34.469816
097070B0000000000000000000000019000000100C,097058149,Beccar,328.92,160,3018.0,363705,308382,338343,363705,-58.544609,-34.469922
097070B0000000000000000000000019000000200A,097058150,Beccar,320.63,160,3018.0,354538,300610,329815,354538,-58.544546,-34.469994
097070B0000000000000000000000019000000300A,097058151,Beccar,223.04,160,3018.0,246628,209113,229430,246628,-58.544461,-34.470059
097070B0000000000000000000000019000000300C,097076583,Beccar,157.02,160,3018.0,173626,147216,161518,173626,-58.544337,-34.47013
097070B0000000000000000000000019000000300D,097058152,Beccar,160.45,160,3018.0,177418,150431,165047,177418,-58.544438,-34.470179
097070B0000000000000000000000019000000400A,097058153,Beccar,254.2,160,3018.0,281083,238327,261482,281083,-58.544571,-34.470179
097070B0000000000000000000000019000000500A,097058154,Beccar,332.75,160,3018.0,367940,311973,342283,367940,-58.544674,-34.470211
097070B0000000000000000000000019000000600A,097058155,Beccar,372.23,160,3018.0,411595,348988,382894,411595,-58.544753,-34.47028
097070B0000000000000000000000019000000700A,097058156,Beccar,239.56,160,3018.0,264895,224602,246423,264895,-58.544854,-34.470318
097070B0000000000000000000000019000000800B,097058157,Beccar,172.13,160,3018.0,190334,161382,177061,190334,-58.544925,-34.47041
097070B0000000000000000000000019000000800C,097075897,Beccar,140.91,160,3018.0,155812,132111,144947,155812,-58.545025,-34.470464
097070B0000000000000000000000019000000900A,097058158,Beccar,219.67,160,3018.0,242901,205954,225963,242901,-58.545037,-34.470342
097070B0000000000000000000000019000001000A,097058159,Beccar,312.28,160,3018.0,345305,292781,321226,345305,-58.545024,-34.47023
097070B0000000000000000000000019000001100A,097058160,Beccar,300.8,160,3018.0,332611,282018,309417,332611,-58.545095,-34.47016
097070B0000000000000000000000019000001200A,097058161,Beccar,304.45,160,3018.0,336647,285440,313172,336647,-58.545153,-34.470086
097070B0000000000000000000000019000001300A,097058162,Beccar,206.82,160,3018.0,228692,193906,212745,228692,-58.545254,-34.47003
097070B0000000000000000000000019000001400A,097058163,Beccar,257.2,160,3018.0,284400,241140,264568,284400,-58.545307,-34.469932
097070B0000000000000000000000019000001500A,097058164,Beccar,229.63,160,3018.0,253915,215292,236208,253915,-58.545136,-34.469925
